"elem", "width", "depth", "coulomb_w"
"C4", "2.040", "0.027"
"C3", "1.960", "0.056"
"C2", "1.940", "0.056"
"c", "1.960", "0.056"
"h", "1.620", "0.02"
"O2", "1.820", "0.059"
"o", "1.820", "0.059"
"N4", "1.930", "0.043"
"N3", "1.930", "0.043"
"N2", "1.930", "0.043"
"n", "1.930", "0.043"
"f", "1.71", "0.075"
"cl", "2.070", "0.240"
"br", "2.220", "0.320"
"i", "2.360", "0.424"
"s", "2.150","0.202"
"si","2.290", "0.140"
"H1O", "1.60", "0.016"
"H1N", "1.60", "0.018"
"H1S", "1.62", "0.020"
"B3", "2.150", "0.014"
"B4", "2.150", "0.014"
"he", "1.53", "0.026"
"ne", "1.60", "0.09"
"ar", "1.990", "0.268"
"kr", "2.150", "0.358"
"xe", "2.280", "0.495"
"fe", "2.200", "0.02"
"ni", "2.200", "0.02"
"co", "2.200", "0.02"
"cu", "2.260", "0.269"
"zn", "2.29", "0.76"
"zr", "2.54", "0.30"
"na", "2.550","0.007"
"ni", "2.2","0.02"
